accuracy,loss,val_accuracy,val_loss
0.5309883952140808,1.2153352499008179,0.796718955039978,0.6338555216789246
0.7813000679016113,0.609090268611908,0.8441511988639832,0.4556277096271515
0.8310774564743042,0.4740149676799774,0.8730385303497314,0.3824746608734131
0.8515583276748657,0.41990387439727783,0.8798145651817322,0.3458557426929474
0.8572573661804199,0.38562852144241333,0.8794578909873962,0.33543577790260315
0.868744432926178,0.36790886521339417,0.8851640224456787,0.30919018387794495
0.8691006302833557,0.35350990295410156,0.8876605033874512,0.3015569746494293
0.8774710893630981,0.33732691407203674,0.8898003101348877,0.29936933517456055
0.8813891410827637,0.32046428322792053,0.8898003101348877,0.2950047254562378
0.8809438943862915,0.3242507874965668,0.8915834426879883,0.2923998534679413
0.8836153149604797,0.3195858299732208,0.8980028629302979,0.2832396626472473
0.8872662782669067,0.3080264925956726,0.8994293808937073,0.279000461101532
0.8888691067695618,0.3064306974411011,0.89051353931427,0.28049808740615845
0.8911843299865723,0.30068525671958923,0.8990727663040161,0.2746829688549042
0.8917186260223389,0.3003128468990326,0.9047788977622986,0.26724016666412354
0.8934995532035828,0.29400771856307983,0.9004992842674255,0.2727659046649933
0.8929652571678162,0.2885681390762329,0.898359477519989,0.26296812295913696
0.8940338492393494,0.29304400086402893,0.9029957056045532,0.2638937830924988
0.8972395658493042,0.2822737693786621,0.8987160921096802,0.2775924801826477
0.8965271711349487,0.28229382634162903,0.9008558988571167,0.26745110750198364
